"Depth Width Baseline
𝐺 𝑑↑ 𝑖𝑟𝑒𝑐𝑡 𝐺 𝑧↑ 𝑒𝑟𝑜 𝐺 𝑟↑ 𝑎𝑛𝑑𝑜𝑚 𝐺 𝑙↑ 𝑒𝑎𝑟𝑛 𝐺 𝑑→ 𝑖𝑟𝑒𝑐𝑡 𝐺 𝑧→ 𝑒𝑟𝑜 𝐺 𝑟→ 𝑎𝑛𝑑𝑜𝑚 𝐺 𝑙→ 𝑒𝑎𝑟𝑛 𝑠𝑐𝑟𝑎𝑡𝑐ℎ
| | | | | | | | |
Lambada (↑) - 48.20 48.67 44.14 48.36 46.16 44.67 44.24 45.66 47.87
ARC-c (↑) - 29.18 28.32 28.41 27.38 28.58 26.70 27.64 26.70 27.21
ARC-e (↑) - 54.25 51.76 52.69 51.17 51.55 49.70 53.82 50.37 48.86
Logiqa (↑) - 28.87 27.95 25.96 28.11 27.34 25.03 26.11 26.57 25.96
PIQA (↑) - 71.98 71.81 70.78 71.16 69.47 69.74 70.13 69.91 69.64
Sciq (↑) - 81.1 81.9 77.7 80.0 81.4 76.0 79.5 79.5 76.8
Winogrande (↑) - 56.03 56.98 53.35 54.45 54.22 54.93 52.95 53.51 54.53
Avg. (↑) - 52.80 52.48 50.43 51.52 51.25 49.54 50.63 50.32 50.12
Wikitext (↓) - 16.73 17.35 17.85 16.93 18.03 18.76 18.29 18.44 17.98
Loss (↓) - 2.151 2.161 2.258 2.156 2.209 2.249 2.227 2.233 2.204
Speed-up (↑) - 49.1% 46.6% -25.7% 48.6% -0.7% -17.9% -13.8% -15.4% 0.0%",,,,,,,,,,
,"|
48.20","|
48.67","|
44.14","|
48.36","|
46.16","|
44.67","|
44.24","|
45.66","|
47.87",
,29.18,28.32,28.41,27.38,28.58,26.70,27.64,26.70,27.21,
,54.25,51.76,52.69,51.17,51.55,49.70,53.82,50.37,48.86,
,28.87,27.95,25.96,28.11,27.34,25.03,26.11,26.57,25.96,
,71.98,71.81,70.78,71.16,69.47,69.74,70.13,69.91,69.64,
,81.1,81.9,77.7,80.0,81.4,76.0,79.5,79.5,76.8,
,56.03,56.98,53.35,54.45,54.22,54.93,52.95,53.51,54.53,
,52.80,52.48,50.43,51.52,51.25,49.54,50.63,50.32,50.12,
,16.73,17.35,17.85,16.93,18.03,18.76,18.29,18.44,17.98,
,2.151,2.161,2.258,2.156,2.209,2.249,2.227,2.233,2.204,
,49.1%,46.6%,-25.7%,48.6%,-0.7%,-17.9%,-13.8%,-15.4%,0.0%,
